filename,class,xmin,ymin,xmax,ymax
1.png,Solar Panels,837,578,1083,1007
1.png,Solar Panels,841,64,1087,485
1.png,Body,859,485,1065,587
1.png,Large Antenna,656,505,754,566
1.png,Large Antenna,1170,504,1267,565
1.png,Small Antenna,1037,474,1181,597
1.png,Small Antenna,742,474,887,597
2.png,Solar Panels,789,579,1008,1020
2.png,Solar Panels,794,51,1013,533
2.png,Body,769,485,1080,587
2.png,Large Antenna,1140,506,1194,564
2.png,Large Antenna,658,503,778,568
2.png,Small Antenna,1055,500,1148,571
2.png,Small Antenna,772,473,881,598
3.png,Solar Panels,784,579,922,1037
3.png,Solar Panels,791,34,928,492
3.png,Body,703,485,1106,587
3.png,Large Antenna,1068,507,1085,563
3.png,Large Antenna,748,502,864,569
3.png,Small Antenna,806,476,1078,600
3.png,Small Antenna,806,471,839,501
4.png,Solar Panels,828,22,849,1051
4.png,Body,700,486,1099,586
4.png,Large Antenna,905,501,987,569
4.png,Small Antenna,850,470,1000,601
4.png,Small Antenna,968,496,1000,514
5.png,Solar Panels,795,581,914,1061
5.png,Solar Panels,798,10,917,490
5.png,Body,692,486,1099,587
5.png,Large Antenna,1062,502,1103,569
5.png,Small Antenna,819,474,953,602
5.png,Small Antenna,915,469,1083,572
6.png,Solar Panels,787,581,1014,1061
6.png,Solar Panels,787,10,1013,489
6.png,Body,741,486,1064,586
6.png,Large Antenna,682,506,750,564
6.png,Large Antenna,1149,503,1226,568
6.png,Small Antenna,809,472,829,599
6.png,Small Antenna,990,469,1157,602
7.png,Solar Panels,828,581,1097,1051
7.png,Solar Panels,824,20,1093,489
7.png,Body,849,486,1071,586
7.png,Large Antenna,1167,505,1276,566
7.png,Large Antenna,645,504,753,565
7.png,Small Antenna,1052,470,1178,601
7.png,Small Antenna,742,470,868,601
8.png,Solar Panels,908,581,1139,1060
8.png,Solar Panels,902,11,1133,489
8.png,Body,850,486,1179,587
8.png,Large Antenna,1171,507,1239,565
8.png,Large Antenna,694,502,771,567
8.png,Small Antenna,1091,472,1112,600
8.png,Small Antenna,763,469,931,602
9.png,Solar Panels,1005,581,1131,1061
9.png,Solar Panels,999,10,1125,490
9.png,Body,817,485,1229,588
9.png,Large Antenna,818,501,859,568
9.png,Small Antenna,968,473,1103,602
9.png,Small Antenna,838,469,1006,573
10.png,Body,823,485,1222,588
10.png,Large Antenna,935,500,1017,568
10.png,Small Antenna,922,470,1072,601
11.png,Solar Panels,1002,579,1133,1037
11.png,Solar Panels,1000,33,1131,492
11.png,Body,820,484,1220,588
11.png,Large Antenna,838,508,855,564
11.png,Large Antenna,1059,501,1175,568
11.png,Small Antenna,845,497,1117,600
11.png,Small Antenna,1084,471,1117,501
12.png,Solar Panels,915,579,1130,1020
12.png,Solar Panels,915,50,1131,488
12.png,Body,850,485,1155,588
12.png,Large Antenna,730,507,783,565
12.png,Large Antenna,1146,502,1266,567
12.png,Small Antenna,775,475,935,570
12.png,Small Antenna,1042,473,1152,598
13.png,Solar Panels,638,283,1338,1026
13.png,Body,848,464,1224,669
13.png,Large Antenna,829,593,884,650
13.png,Large Antenna,1043,444,1156,485
13.png,Small Antenna,846,469,1083,644
13.png,Small Antenna,1096,502,1125,521
14.png,Solar Panels,679,512,931,620
14.png,Solar Panels,1001,563,1664,755
14.png,Body,820,465,1190,683
14.png,Body,941,617,997,638
14.png,Large Antenna,745,611,809,673
14.png,Large Antenna,1110,445,1214,471
14.png,Small Antenna,794,567,995,636
14.png,Small Antenna,1010,462,1143,561
15.png,Solar Panels,847,553,1115,751
15.png,Solar Panels,634,54,1040,513
15.png,Body,809,404,1071,625
15.png,Large Antenna,650,547,760,590
15.png,Large Antenna,1171,469,1248,525
15.png,Small Antenna,749,470,871,585
15.png,Small Antenna,1020,443,1174,552
16.png,Solar Panels,999,598,1885,757
16.png,Solar Panels,71,446,841,603
16.png,Body,819,486,1066,695
16.png,Large Antenna,906,463,1025,496
16.png,Small Antenna,905,481,1058,585
16.png,Small Antenna,827,539,880,555
17.png,Solar Panels,1146,497,1741,698
17.png,Solar Panels,53,337,959,594
17.png,Body,844,476,1171,614
17.png,Large Antenna,871,655,971,715
17.png,Large Antenna,974,372,1082,430
17.png,Small Antenna,878,583,1003,660
17.png,Small Antenna,926,426,1051,480
18.png,Solar Panels,1056,542,1422,645
18.png,Solar Panels,74,486,843,636
18.png,Body,746,470,1078,664
18.png,Body,871,611,930,632
18.png,Large Antenna,1046,632,1120,697
18.png,Large Antenna,799,427,899,453
18.png,Small Antenna,861,447,1087,634
18.png,Small Antenna,791,513,827,534
19.png,Solar Panels,520,482,905,627
19.png,Solar Panels,1092,401,1853,603
19.png,Body,864,480,1177,600
19.png,Body,1121,494,1176,567
19.png,Body,917,520,995,555
19.png,Large Antenna,935,662,1031,710
19.png,Large Antenna,896,372,984,427
19.png,Small Antenna,905,582,1111,662
19.png,Small Antenna,886,421,1095,492
20.png,Solar Panels,515,452,856,660
20.png,Body,786,483,1106,602
20.png,Large Antenna,915,656,991,713
20.png,Large Antenna,897,369,976,420
20.png,Small Antenna,834,596,1008,662
20.png,Small Antenna,827,418,1000,491
21.png,Solar Panels,846,474,1163,708
21.png,Solar Panels,683,457,797,571
21.png,Body,700,483,902,607
21.png,Large Antenna,912,656,990,713
21.png,Large Antenna,910,367,990,421
21.png,Small Antenna,879,602,900,619
21.png,Small Antenna,878,419,1013,494
22.png,Solar Panels,758,411,1240,611
22.png,Body,804,508,886,594
22.png,Body,1007,445,1237,581
22.png,Large Antenna,1006,654,1100,698
22.png,Large Antenna,870,371,933,431
22.png,Small Antenna,956,576,1111,658
23.png,Solar Panels,917,446,1627,614
23.png,Solar Panels,457,427,774,535
23.png,Body,719,403,1059,619
23.png,Body,849,541,903,566
23.png,Large Antenna,718,625,832,655
23.png,Large Antenna,1076,406,1146,449
23.png,Small Antenna,777,532,932,630
23.png,Small Antenna,1002,454,1033,470
24.png,Solar Panels,117,561,905,702
24.png,Solar Panels,1058,484,1887,621
24.png,Body,875,471,1075,678
24.png,Large Antenna,934,615,1054,681
24.png,Large Antenna,905,447,1002,466
24.png,Small Antenna,876,567,1102,634
24.png,Small Antenna,899,463,1026,500
25.png,Solar Panels,176,294,1477,815
25.png,Body,829,393,1108,599
25.png,Body,979,536,1033,557
25.png,Large Antenna,1131,578,1238,616
25.png,Large Antenna,700,457,793,510
25.png,Small Antenna,981,491,1143,604
25.png,Small Antenna,776,486,838,540
26.png,Solar Panels,1057,486,1893,691
26.png,Solar Panels,201,390,881,578
26.png,Body,862,478,1091,607
26.png,Large Antenna,883,654,989,702
26.png,Large Antenna,955,370,1068,429
26.png,Small Antenna,883,593,1081,661
26.png,Small Antenna,894,421,1111,500
27.png,Solar Panels,934,531,953,550
27.png,Solar Panels,1097,442,1396,647
27.png,Body,831,476,1138,600
27.png,Body,1202,479,1219,578
27.png,Body,931,529,955,552
27.png,Large Antenna,953,659,1033,708
27.png,Large Antenna,916,367,989,426
27.png,Small Antenna,924,589,1093,662
27.png,Small Antenna,904,420,1076,485
28.png,Solar Panels,1032,599,1863,702
28.png,Solar Panels,113,528,811,609
28.png,Body,842,465,1060,692
28.png,Large Antenna,808,561,929,616
28.png,Small Antenna,841,535,1082,621
29.png,Solar Panels,1084,450,1852,572
29.png,Solar Panels,0,405,917,537
29.png,Body,857,398,1086,595
29.png,Large Antenna,920,627,1039,658
29.png,Large Antenna,878,417,901,452
29.png,Small Antenna,860,531,1096,633
30.png,Solar Panels,741,227,1202,602
30.png,Body,742,402,1073,622
30.png,Body,807,503,846,533
30.png,Large Antenna,682,599,799,628
30.png,Large Antenna,1127,428,1182,484
30.png,Small Antenna,786,504,897,613
30.png,Small Antenna,1064,472,1141,525
31.png,Solar Panels,192,333,1354,932
31.png,Body,748,492,1082,650
31.png,Body,925,475,1017,564
31.png,Large Antenna,1094,623,1159,683
31.png,Large Antenna,735,412,846,451
31.png,Small Antenna,915,562,1119,636
31.png,Small Antenna,787,442,943,551
32.png,Solar Panels,1054,489,1881,695
32.png,Solar Panels,226,320,885,455
32.png,Body,841,392,1123,628
32.png,Large Antenna,774,527,879,572
32.png,Large Antenna,1065,508,1113,539
32.png,Small Antenna,833,469,1037,578
33.png,Solar Panels,953,445,1784,574
33.png,Solar Panels,336,437,769,526
33.png,Body,744,397,1086,621
33.png,Body,880,529,939,554
33.png,Large Antenna,723,614,839,643
33.png,Large Antenna,1060,422,1142,465
33.png,Small Antenna,775,523,942,621
33.png,Small Antenna,1024,455,1088,492
34.png,Solar Panels,188,461,854,503
34.png,Solar Panels,1046,437,1917,490
34.png,Body,858,390,1087,620
34.png,Large Antenna,1029,542,1116,575
34.png,Large Antenna,802,477,918,529
34.png,Small Antenna,850,467,1116,549
35.png,Solar Panels,694,146,1627,735
35.png,Body,852,432,1198,607
35.png,Body,912,431,1186,556
35.png,Large Antenna,1073,634,1184,672
35.png,Large Antenna,784,399,837,458
35.png,Small Antenna,813,449,1134,641
36.png,Solar Panels,1093,500,1873,708
36.png,Solar Panels,237,265,895,458
36.png,Body,852,389,1131,627
36.png,Large Antenna,875,455,987,514
36.png,Small Antenna,871,482,1093,582
37.png,Solar Panels,739,466,1157,700
37.png,Solar Panels,1158,462,1251,577
37.png,Body,1015,484,1222,607
37.png,Large Antenna,932,661,1011,715
37.png,Large Antenna,930,368,1011,426
37.png,Small Antenna,935,601,1042,664
37.png,Small Antenna,907,421,1042,493
38.png,Solar Panels,1021,645,1447,838
38.png,Solar Panels,152,267,831,571
38.png,Body,733,459,1068,682
38.png,Large Antenna,992,597,1076,662
38.png,Large Antenna,851,464,934,497
38.png,Small Antenna,843,549,1063,643
38.png,Small Antenna,801,517,841,534
39.png,Solar Panels,80,510,833,813
39.png,Solar Panels,995,358,1404,564
39.png,Body,737,473,1066,608
39.png,Body,927,531,1011,566
39.png,Large Antenna,985,646,1063,699
39.png,Large Antenna,842,374,947,424
39.png,Small Antenna,893,423,1056,651
39.png,Small Antenna,798,486,842,511
40.png,Solar Panels,981,515,1187,997
40.png,Solar Panels,979,207,1118,439
40.png,Body,830,424,1224,610
40.png,Body,946,500,991,534
40.png,Large Antenna,1085,604,1175,647
40.png,Large Antenna,793,418,830,483
40.png,Small Antenna,1094,580,1121,599
40.png,Small Antenna,817,445,989,539
41.png,Solar Panels,193,509,1000,824
41.png,Solar Panels,1160,356,1598,573
41.png,Body,865,473,1211,618
41.png,Large Antenna,973,646,1072,704
41.png,Large Antenna,881,369,970,428
41.png,Small Antenna,936,608,1030,654
41.png,Small Antenna,881,420,1098,510
42.png,Solar Panels,990,529,1066,607
42.png,Solar Panels,414,413,864,618
42.png,Body,768,480,1109,598
42.png,Large Antenna,898,657,979,712
42.png,Large Antenna,911,368,990,420
42.png,Small Antenna,820,590,1003,662
42.png,Small Antenna,826,418,1010,486
43.png,Solar Panels,365,45,1449,823
43.png,Body,829,417,1107,620
43.png,Large Antenna,702,558,785,601
43.png,Large Antenna,1138,451,1244,513
43.png,Small Antenna,772,477,896,593
43.png,Small Antenna,1000,440,1148,550
44.png,Solar Panels,705,471,878,720
44.png,Body,799,482,1106,617
44.png,Body,691,520,749,625
44.png,Large Antenna,970,652,1031,712
44.png,Large Antenna,852,378,937,425
