filename,class,xmin,ymin,xmax,ymax
1.png,Solar Panels,837,578,1083,1007
1.png,Solar Panels,841,64,1087,485
1.png,Body,859,485,1065,587
2.png,Solar Panels,789,579,1008,1020
2.png,Solar Panels,794,51,1013,533
2.png,Body,769,485,1080,587
3.png,Solar Panels,784,579,922,1037
3.png,Solar Panels,791,34,928,492
3.png,Body,703,485,1106,587
4.png,Solar Panels,828,22,849,1051
4.png,Body,700,486,1099,586
5.png,Solar Panels,795,581,914,1061
5.png,Solar Panels,798,10,917,490
5.png,Body,692,486,1099,587
6.png,Solar Panels,787,581,1014,1061
6.png,Solar Panels,787,10,1013,489
6.png,Body,741,486,1064,586
7.png,Solar Panels,828,581,1097,1051
7.png,Solar Panels,824,20,1093,489
7.png,Body,849,486,1071,586
8.png,Solar Panels,908,581,1139,1060
8.png,Solar Panels,902,11,1133,489
8.png,Body,850,486,1179,587
9.png,Solar Panels,1005,581,1131,1061
9.png,Solar Panels,999,10,1125,490
9.png,Body,817,485,1229,588
10.png,Body,823,485,1222,588
11.png,Solar Panels,1002,579,1133,1037
11.png,Solar Panels,1000,33,1131,492
11.png,Body,820,484,1220,588
12.png,Solar Panels,915,579,1130,1020
12.png,Solar Panels,915,50,1131,488
12.png,Body,850,485,1155,588
13.png,Solar Panels,638,283,1338,1026
13.png,Body,848,464,1224,669
14.png,Solar Panels,679,512,931,620
14.png,Solar Panels,1001,563,1664,755
14.png,Body,820,465,1190,683
14.png,Body,941,617,997,638
15.png,Solar Panels,847,553,1115,751
15.png,Solar Panels,634,54,1040,513
15.png,Body,809,404,1071,625
16.png,Solar Panels,999,598,1885,757
16.png,Solar Panels,71,446,841,603
16.png,Body,819,486,1066,695
17.png,Solar Panels,1146,497,1741,698
17.png,Solar Panels,53,337,959,594
17.png,Body,844,476,1171,614
18.png,Solar Panels,1056,542,1422,645
18.png,Solar Panels,74,486,843,636
18.png,Body,746,470,1078,664
18.png,Body,871,611,930,632
19.png,Solar Panels,520,482,905,627
19.png,Solar Panels,1092,401,1853,603
19.png,Body,864,480,1177,600
19.png,Body,1121,494,1176,567
19.png,Body,917,520,995,555
20.png,Solar Panels,515,452,856,660
20.png,Body,786,483,1106,602
21.png,Solar Panels,846,474,1163,708
21.png,Solar Panels,683,457,797,571
21.png,Body,700,483,902,607
22.png,Solar Panels,758,411,1240,611
22.png,Body,804,508,886,594
22.png,Body,1007,445,1237,581
23.png,Solar Panels,917,446,1627,614
23.png,Solar Panels,457,427,774,535
23.png,Body,719,403,1059,619
23.png,Body,849,541,903,566
24.png,Solar Panels,117,561,905,702
24.png,Solar Panels,1058,484,1887,621
24.png,Body,875,471,1075,678
25.png,Solar Panels,176,294,1477,815
25.png,Body,829,393,1108,599
25.png,Body,979,536,1033,557
26.png,Solar Panels,1057,486,1893,691
26.png,Solar Panels,201,390,881,578
26.png,Body,862,478,1091,607
27.png,Solar Panels,934,531,953,550
27.png,Solar Panels,1097,442,1396,647
27.png,Body,831,476,1138,600
27.png,Body,1202,479,1219,578
27.png,Body,931,529,955,552
28.png,Solar Panels,1032,599,1863,702
28.png,Solar Panels,113,528,811,609
28.png,Body,842,465,1060,692
29.png,Solar Panels,1084,450,1852,572
29.png,Solar Panels,0,405,917,537
29.png,Body,857,398,1086,595
30.png,Solar Panels,741,227,1202,602
30.png,Body,742,402,1073,622
30.png,Body,807,503,846,533
31.png,Solar Panels,192,333,1354,932
31.png,Body,748,492,1082,650
31.png,Body,925,475,1017,564
32.png,Solar Panels,1054,489,1881,695
32.png,Solar Panels,226,320,885,455
32.png,Body,841,392,1123,628
33.png,Solar Panels,953,445,1784,574
33.png,Solar Panels,336,437,769,526
33.png,Body,744,397,1086,621
33.png,Body,880,529,939,554
34.png,Solar Panels,188,461,854,503
34.png,Solar Panels,1046,437,1917,490
34.png,Body,858,390,1087,620
35.png,Solar Panels,694,146,1627,735
35.png,Body,852,432,1198,607
35.png,Body,912,431,1186,556
36.png,Solar Panels,1093,500,1873,708
36.png,Solar Panels,237,265,895,458
36.png,Body,852,389,1131,627
37.png,Solar Panels,739,466,1157,700
37.png,Solar Panels,1158,462,1251,577
37.png,Body,1015,484,1222,607
38.png,Solar Panels,1021,645,1447,838
38.png,Solar Panels,152,267,831,571
38.png,Body,733,459,1068,682
39.png,Solar Panels,80,510,833,813
39.png,Solar Panels,995,358,1404,564
39.png,Body,737,473,1066,608
39.png,Body,927,531,1011,566
40.png,Solar Panels,981,515,1187,997
40.png,Solar Panels,979,207,1118,439
40.png,Body,830,424,1224,610
40.png,Body,946,500,991,534
41.png,Solar Panels,193,509,1000,824
41.png,Solar Panels,1160,356,1598,573
41.png,Body,865,473,1211,618
42.png,Solar Panels,990,529,1066,607
42.png,Solar Panels,414,413,864,618
42.png,Body,768,480,1109,598
43.png,Solar Panels,365,45,1449,823
43.png,Body,829,417,1107,620
44.png,Solar Panels,705,471,878,720
44.png,Body,799,482,1106,617
44.png,Body,691,520,749,625
45.png,Solar Panels,1122,547,1597,886
45.png,Solar Panels,504,66,988,450
45.png,Body,872,419,1211,615
46.png,Solar Panels,121,473,894,614
46.png,Solar Panels,1062,467,1821,608
46.png,Body,878,484,1062,599
47.png,Solar Panels,174,254,1363,961
47.png,Body,726,473,1107,622
47.png,Body,983,570,1028,597
47.png,Body,773,516,813,547
48.png,Solar Panels,926,447,1889,609
48.png,Solar Panels,195,444,786,573
48.png,Body,766,429,1060,600
48.png,Body,1018,495,1076,547
49.png,Solar Panels,92,505,865,817
49.png,Solar Panels,1018,232,1673,453
49.png,Body,780,392,1088,625
50.png,Solar Panels,192,207,1245,758
50.png,Body,700,468,1115,615
50.png,Body,792,564,969,593
51.png,Solar Panels,1037,57,1107,846
51.png,Body,826,468,1217,612
51.png,Body,1026,537,1059,569
52.png,Solar Panels,1180,491,1523,622
52.png,Solar Panels,252,470,1045,661
52.png,Body,889,484,1213,634
53.png,Solar Panels,352,542,839,977
53.png,Solar Panels,926,77,1449,467
53.png,Body,710,426,1075,608
54.png,Solar Panels,1022,637,1438,766
54.png,Solar Panels,135,360,872,591
54.png,Body,763,456,1086,695
54.png,Body,923,571,983,597
55.png,Solar Panels,794,601,1052,1056
55.png,Solar Panels,742,229,933,514
55.png,Body,712,480,1109,647
55.png,Body,804,554,841,589
56.png,Solar Panels,61,471,1010,688
56.png,Solar Panels,1150,428,1684,591
56.png,Body,858,463,1169,604
57.png,Solar Panels,1071,539,1791,885
57.png,Solar Panels,187,166,943,491
57.png,Body,849,424,1158,613
58.png,Solar Panels,369,472,738,611
58.png,Solar Panels,882,442,1711,636
58.png,Body,728,479,1040,602
59.png,Solar Panels,1019,628,1704,831
59.png,Solar Panels,77,302,862,582
59.png,Body,785,454,1088,691
60.png,Solar Panels,761,352,1530,950
60.png,Body,852,474,1194,659
60.png,Body,877,523,980,581
61.png,Solar Panels,890,598,1408,1018
61.png,Solar Panels,483,266,805,500
61.png,Body,711,458,1067,672
62.png,Solar Panels,884,651,1151,790
62.png,Solar Panels,611,262,1064,584
62.png,Body,832,541,1072,687
63.png,Solar Panels,867,569,1053,894
63.png,Solar Panels,870,180,1056,499
63.png,Body,885,499,1039,575
64.png,Solar Panels,832,569,996,902
64.png,Solar Panels,836,172,1000,535
64.png,Body,815,499,1049,575
65.png,Solar Panels,829,569,931,911
65.png,Solar Panels,834,163,935,505
65.png,Body,766,500,1070,575
66.png,Body,767,500,1063,575
67.png,Solar Panels,836,570,926,924
67.png,Solar Panels,838,150,928,503
67.png,Body,761,500,1065,575
68.png,Solar Panels,831,571,1000,924
68.png,Solar Panels,831,150,999,503
68.png,Body,799,500,1039,575
69.png,Solar Panels,862,571,1061,919
69.png,Solar Panels,860,155,1058,503
69.png,Body,879,500,1042,575
70.png,Solar Panels,922,571,1094,924
70.png,Solar Panels,918,150,1089,503
70.png,Body,877,500,1122,575
71.png,Solar Panels,994,570,1089,924
71.png,Solar Panels,989,149,1085,503
71.png,Body,855,499,1161,576
72.png,Body,858,499,1155,575
73.png,Solar Panels,992,569,1090,911
73.png,Solar Panels,991,162,1088,505
73.png,Body,856,499,1156,576
74.png,Solar Panels,926,569,1088,902
74.png,Solar Panels,926,172,1089,501
74.png,Body,879,499,1108,576
74.png,Body,1002,524,1019,550
75.png,Solar Panels,1085,534,1559,751
75.png,Solar Panels,525,256,973,479
75.png,Body,860,441,1134,582
76.png,Solar Panels,303,490,887,602
76.png,Solar Panels,1011,479,1594,589
76.png,Body,885,497,1023,584
77.png,Solar Panels,1008,584,1159,851
77.png,Solar Panels,900,159,1073,500
77.png,Body,847,478,1160,584
78.png,Solar Panels,707,490,1041,638
78.png,Solar Panels,1136,481,1252,582
78.png,Body,977,498,1155,588
79.png,Solar Panels,553,210,1255,704
79.png,Body,865,436,1051,604
80.png,Solar Panels,488,611,948,831
80.png,Solar Panels,1081,355,1549,551
80.png,Body,883,480,1122,647
81.png,Solar Panels,491,369,1375,595
81.png,Body,876,432,1140,601
81.png,Body,988,523,1030,545
82.png,Solar Panels,968,586,1518,839
82.png,Solar Panels,376,291,874,545
82.png,Body,810,490,1055,635
83.png,Solar Panels,913,547,1498,683
83.png,Solar Panels,491,500,816,594
83.png,Body,787,484,1034,646
83.png,Body,909,528,953,550
84.png,Solar Panels,757,195,1328,879
84.png,Body,876,457,1157,589
85.png,Solar Panels,473,301,1530,810
85.png,Body,819,455,1059,593
86.png,Solar Panels,997,206,1094,785
86.png,Body,854,485,1157,596
87.png,Solar Panels,528,314,1508,756
87.png,Body,830,492,1054,644
87.png,Body,928,515,978,552
88.png,Solar Panels,566,591,858,638
88.png,Solar Panels,974,513,1523,588
88.png,Body,855,487,1061,652
89.png,Solar Panels,667,396,1195,789
89.png,Body,762,492,1037,615
89.png,Body,901,511,931,536
90.png,Solar Panels,1060,555,1522,786
90.png,Solar Panels,368,272,954,546
90.png,Body,875,490,1112,611
91.png,Solar Panels,895,505,1202,692
91.png,Solar Panels,826,366,1022,460
91.png,Body,878,429,1071,601
92.png,Solar Panels,981,490,1634,611
92.png,Solar Panels,317,487,839,597
92.png,Body,840,498,1032,594
93.png,Solar Panels,1139,509,1648,570
93.png,Solar Panels,334,413,840,476
93.png,Body,894,431,1061,591
94.png,Solar Panels,383,503,830,654
94.png,Solar Panels,938,390,1611,573
94.png,Body,816,483,1038,588
95.png,Solar Panels,837,499,1028,724
95.png,Solar Panels,806,375,939,467
95.png,Body,771,442,1064,571
96.png,Solar Panels,993,493,1199,591
96.png,Solar Panels,407,475,912,606
96.png,Body,790,497,1072,584
97.png,Solar Panels,761,340,1393,737
97.png,Body,882,432,1144,603
97.png,Body,953,493,994,515
98.png,Solar Panels,788,206,1312,912
98.png,Body,873,497,1159,607
98.png,Body,965,540,982,564
99.png,Solar Panels,1073,536,1537,773
99.png,Solar Panels,553,233,977,481
99.png,Body,853,446,1141,585
100.png,Solar Panels,595,426,1202,528
100.png,Body,870,428,1101,599
101.png,Solar Panels,737,481,1032,635
101.png,Solar Panels,1125,462,1238,559
101.png,Body,937,474,1168,580
102.png,Solar Panels,1047,496,1644,665
102.png,Solar Panels,451,375,907,525
102.png,Body,883,447,1086,597
103.png,Solar Panels,1004,555,1629,734
103.png,Solar Panels,365,426,889,583
