filename,class,xmin,ymin,xmax,ymax
IMG_7579.png,Solar Panels,1648,1459,3845,2419
IMG_7579.png,Solar Panels,291,1315,1251,1914
IMG_7579.png,Large Antenna,1209,1463,956,1738
IMG_7579.png,Small Antenna,1496,1476,1143,1375
IMG_7579.png,Body,1243,2048,1853,1115
IMG_7592.png,Solar Panels,1851,1411,2208,1693
IMG_7592.png,Large Antenna,2085,1554,2200,1430
IMG_7592.png,Small Antenna,2170,1414,2303,1436
IMG_7592.png,Body,2205,1718,2489,1271
IMG_7592.png,Solar Panels,3382,1815,2396,1425
IMG_7586.png,Solar Panels,45,1236,1788,1805
IMG_7586.png,Small Antenna,1804,1229,2143,1331
IMG_7586.png,Body,2183,1847,1771,964
IMG_7587.png,Solar Panels,3765,1131,1634,2064
IMG_7587.png,Solar Panels,1257,1727,551,1219
IMG_7587.png,Small Antenna,1787,1143,1873,1239
IMG_7587.png,Large Antenna,1821,1285,1915,1194
IMG_7587.png,Small Antenna,1441,1212,1095,1127
IMG_7587.png,Body,1815,1797,1238,905
IMG_7593.png,Solar Panels,1307,1190,2034,1607
IMG_7593.png,Solar Panels,2335,1864,4005,1228
IMG_7593.png,Large Antenna,1871,1384,2056,1203
IMG_7593.png,Small Antenna,2014,1174,2168,1224
IMG_7593.png,Body,2033,1646,2441,984
IMG_7578.png,Solar Panels,4027,1483,2086,2064
IMG_7578.png,Solar Panels,1608,1816,1,2355
IMG_7578.png,Large Antenna,2088,2360,1704,2709
IMG_7578.png,Small Antenna,2060,1959,1638,2345
IMG_7578.png,Small Antenna,1649,1493,1957,1292
IMG_7578.png,Body,1564,2004,2130,1330
IMG_7585.png,Solar Panels,15,2856,1500,1480
IMG_7585.png,Solar Panels,3023,570,2325,1491
IMG_7585.png,Large Antenna,2778,2199,2370,1606
IMG_7585.png,Small Antenna,1669,909,1140,671
IMG_7585.png,Small Antenna,2497,1656,1795,1208
IMG_7585.png,Body,2306,336,1203,2199
IMG_7591.png,Solar Panels,47,1142,1942,1729
IMG_7591.png,Solar Panels,2284,1738,3947,1204
IMG_7591.png,Large Antenna,2309,1251,2016,1515
IMG_7591.png,Small Antenna,1957,1155,2269,1246
IMG_7591.png,Body,2292,905,1936,1809
IMG_7590.png,Solar Panels,153,1346,1652,1808
IMG_7590.png,Solar Panels,1920,1395,3180,1812
IMG_7590.png,Large Antenna,1907,1605,1687,1411
IMG_7590.png,Body,1656,1864,1941,1164
IMG_7590.png,Small Antenna,1680,1369,1887,1413
IMG_7584.png,Solar Panels,13,1089,2621,2249
IMG_7584.png,Solar Panels,3036,1792,3859,1208
IMG_7584.png,Small Antenna,3299,1291,2881,1150
IMG_7584.png,Body,3133,1918,2378,841
IMG_7580.png,Solar Panels,1915,1410,2047,1759
IMG_7580.png,Solar Panels,2853,2447,2207,1552
IMG_7580.png,Small Antenna,2050,1530,1875,1471
IMG_7580.png,Small Antenna,2355,1448,2507,1522
IMG_7580.png,Body,2024,1929,2382,1305
IMG_7580.png,Large Antenna,1747,1672,1872,1513
IMG_7594.png,Solar Panels,1603,953,2048,1397
IMG_7594.png,Solar Panels,2338,1855,3909,1013
IMG_7594.png,Large Antenna,1788,1172,1965,984
IMG_7594.png,Body,2050,1460,2496,751
IMG_7594.png,Small Antenna,2479,943,2563,996
IMG_7594.png,Small Antenna,1956,962,2183,1013
IMG_7595.png,Solar Panels,583,1365,1578,1909
IMG_7595.png,Solar Panels,1948,2310,4026,1467
IMG_7595.png,Large Antenna,1580,1493,1344,1743
IMG_7595.png,Small Antenna,1515,1434,1795,1503
IMG_7595.png,Body,1572,1993,2064,1163
IMG_7581.png,Solar Panels,3017,1508,1722,2269
IMG_7581.png,Solar Panels,1093,1584,5,2335
IMG_7581.png,Large Antenna,1683,2144,1122,2706
IMG_7581.png,Small Antenna,1084,1758,1684,2094
IMG_7581.png,Small Antenna,1266,1142,1576,1306
IMG_7581.png,Body,1787,2445,1044,953
IMG_7583.png,Solar Panels,61,1336,1795,1880
IMG_7583.png,Solar Panels,2112,1885,3663,1377
IMG_7583.png,Large Antenna,2101,1381,1837,1611
IMG_7583.png,Body,2151,1917,1772,1100
IMG_7582.png,Solar Panels,3779,1159,2766,1724
IMG_7582.png,Solar Panels,11,1147,2334,2033
IMG_7582.png,Small Antenna,2482,1091,2855,1181
IMG_7582.png,Body,2180,850,2768,1798
IMG_7596.png,Solar Panels,964,1340,1914,1676
IMG_7596.png,Solar Panels,2516,1410,3091,1743
IMG_7596.png,Large Antenna,2060,1396,1909,1527
IMG_7596.png,Small Antenna,1924,1379,2056,1398
IMG_7596.png,Body,1903,1252,2125,1635
IMG_7571.png,Solar Panels,788,1280,1970,1658
IMG_7571.png,Solar Panels,3210,1269,2200,1621
IMG_7571.png,Large Antenna,2059,1433,2228,1284
IMG_7571.png,Small Antenna,2041,1264,2177,1289
IMG_7571.png,Body,1954,1101,2220,1641
IMG_7573.png,Solar Panels,2189,1285,3658,1756
IMG_7573.png,Solar Panels,1895,1298,565,1749
IMG_7573.png,Large Antenna,2110,1276,1886,1498
IMG_7573.png,Body,2209,1779,1888,1067
IMG_7583.png,Solar Panels,61,1336,1795,1880
IMG_7583.png,Solar Panels,2112,1885,3663,1377
IMG_7583.png,Large Antenna,2101,1381,1837,1611
IMG_7583.png,Body,2151,1917,1772,1100
IMG_7582.png,Solar Panels,3779,1159,2766,1724
IMG_7582.png,Solar Panels,11,1147,2334,2033
IMG_7582.png,Small Antenna,2482,1091,2855,1181
IMG_7582.png,Body,2180,850,2768,1798
IMG_7596.png,Solar Panels,964,1340,1914,1676
IMG_7596.png,Solar Panels,2516,1410,3091,1743
IMG_7596.png,Large Antenna,2060,1396,1909,1527
IMG_7596.png,Small Antenna,1924,1379,2056,1398
IMG_7596.png,Body,1903,1252,2125,1635
IMG_7571.png,Solar Panels,788,1280,1970,1658
IMG_7571.png,Solar Panels,3210,1269,2200,16211
IMG_7571.png,Large Antenna,2059,1433,2228,1284
IMG_7571.png,Small Antenna,2041,1264,2177,1289
IMG_7571.png,Body,1954,1101,2220,1641
IMG_7573.png,Solar Panels,2189,1285,3658,1756
IMG_7573.png,Solar Panels,1895,1298,565,1749
